customer_id,tenure_months,monthly_charges,total_charges,contract,payment_method,internet_service,support_calls,usage_gb,late_payments,senior_citizen,has_dependents,churn
C10000,7,55.6,397.64,One year,Bank transfer,DSL,2,7.0,0,0,1,0
C10001,56,53.55,3048.7,Two year,Electronic check,Fiber optic,0,47.0,2,0,0,0
C10002,48,84.22,4087.9,Month-to-month,Bank transfer,Fiber optic,2,31.4,0,0,1,1
C10003,32,85.48,2735.67,Month-to-month,Electronic check,No,1,12.5,2,0,0,1
C10004,32,51.62,1558.37,One year,Credit card,No,0,41.2,1,0,0,0
C10005,62,54.92,3360.81,Two year,Mailed check,No,3,27.5,0,0,0,0
C10006,7,78.53,580.24,Month-to-month,Bank transfer,Fiber optic,0,74.1,0,0,0,1
C10007,51,44.31,2197.8,Two year,Credit card,Fiber optic,1,5.3,0,0,1,0
C10008,15,54.74,808.03,Month-to-month,Bank transfer,Fiber optic,2,79.6,1,0,0,0
C10009,7,67.24,484.22,Month-to-month,Bank transfer,Fiber optic,1,38.9,1,0,1,0
C10010,38,89.9,3474.98,Month-to-month,Mailed check,DSL,1,65.6,1,0,1,0
C10011,71,49.89,3519.19,Two year,Mailed check,No,3,107.9,0,1,0,0
C10012,53,18.94,978.08,Month-to-month,Mailed check,Fiber optic,1,54.8,1,0,0,0
C10013,55,17.09,937.85,One year,Credit card,Fiber optic,0,78.6,0,0,1,0
C10014,52,33.51,1756.56,Month-to-month,Electronic check,Fiber optic,1,9.8,0,0,1,1
C10015,57,32.17,1827.52,Two year,Mailed check,DSL,0,11.1,0,0,1,0
C10016,37,61.13,2303.78,One year,Credit card,Fiber optic,0,31.0,0,0,1,0
C10017,10,35.28,320.83,Month-to-month,Mailed check,Fiber optic,1,23.4,1,0,0,1
C10018,61,47.43,2898.04,Month-to-month,Credit card,No,1,58.1,0,0,0,0
C10019,33,45.65,1524.26,Month-to-month,Electronic check,Fiber optic,0,58.1,0,0,0,1
C10020,37,53.99,1981.62,Month-to-month,Electronic check,Fiber optic,1,92.0,1,0,1,0
C10021,27,98.06,2681.21,Two year,Bank transfer,Fiber optic,1,38.6,0,0,1,1
C10022,14,81.55,1147.66,One year,Mailed check,No,1,9.8,1,1,0,0
C10023,67,65.4,4413.35,Month-to-month,Credit card,No,2,92.7,0,0,0,0
C10024,57,53.47,3055.55,One year,Mailed check,Fiber optic,1,89.6,0,0,0,0
C10025,47,54.17,2561.05,Month-to-month,Electronic check,Fiber optic,2,31.4,1,0,0,0
C10026,29,73.19,2097.21,Month-to-month,Electronic check,Fiber optic,1,91.4,0,0,0,1
